RIDE,MONTH,TIME_OF_DAY,AVERAGE_WAIT_TIME_MIN
PETER PAN'S FLIGHT,SEP,6 PM,71.34490239
PETER PAN'S FLIGHT,SEP,7 PM,56.11258278
PETER PAN'S FLIGHT,SEP,8 PM,46.36514248
PETER PAN'S FLIGHT,SEP,9 PM,39.59162663
PETER PAN'S FLIGHT,SEP,10 PM,30.35447761
PETER PAN'S FLIGHT,SEP,11 PM,20.2994012
PETER PAN'S FLIGHT,OCT,12 AM,17.5
PETER PAN'S FLIGHT,OCT,7 AM,32.56150794
PETER PAN'S FLIGHT,OCT,8 AM,37.28396947
PETER PAN'S FLIGHT,OCT,9 AM,48.50683149
PETER PAN'S FLIGHT,OCT,10 AM,59.36957972
PETER PAN'S FLIGHT,OCT,11 AM,70.55406313
PETER PAN'S FLIGHT,OCT,12 PM,72.39795918
PETER PAN'S FLIGHT,OCT,1 PM,74.73053892
PETER PAN'S FLIGHT,OCT,2 PM,74.30013459
PETER PAN'S FLIGHT,OCT,3 PM,66.06595603
PETER PAN'S FLIGHT,OCT,4 PM,74.50755089
PETER PAN'S FLIGHT,OCT,5 PM,69.23027167
PETER PAN'S FLIGHT,OCT,6 PM,83.80271084
PETER PAN'S FLIGHT,OCT,7 PM,55.49859551
PETER PAN'S FLIGHT,OCT,8 PM,51.1875
PETER PAN'S FLIGHT,OCT,9 PM,53.2957958
PETER PAN'S FLIGHT,OCT,10 PM,38.76335251
PETER PAN'S FLIGHT,OCT,11 PM,22.64367816
PETER PAN'S FLIGHT,NOV,12 AM,20.83333333
PETER PAN'S FLIGHT,NOV,7 AM,36.95686275
PETER PAN'S FLIGHT,NOV,8 AM,40.26745098
PETER PAN'S FLIGHT,NOV,9 AM,48.41517857
PETER PAN'S FLIGHT,NOV,10 AM,59.35297516
PETER PAN'S FLIGHT,NOV,11 AM,72.26693688
PETER PAN'S FLIGHT,NOV,12 PM,72.23546512
PETER PAN'S FLIGHT,NOV,1 PM,76.29098361
PETER PAN'S FLIGHT,NOV,2 PM,76.14602035
PETER PAN'S FLIGHT,NOV,3 PM,75.0689862
PETER PAN'S FLIGHT,NOV,4 PM,78.09581565
PETER PAN'S FLIGHT,NOV,5 PM,71.88431723
PETER PAN'S FLIGHT,NOV,6 PM,75.42701092
PETER PAN'S FLIGHT,NOV,7 PM,54.77393617
PETER PAN'S FLIGHT,NOV,8 PM,50.94713656
PETER PAN'S FLIGHT,NOV,9 PM,55.50091075
PETER PAN'S FLIGHT,NOV,10 PM,39.86886633
PETER PAN'S FLIGHT,NOV,11 PM,25.90909091
PETER PAN'S FLIGHT,DEC,12 AM,26.51898734
PETER PAN'S FLIGHT,DEC,7 AM,34.71978984
PETER PAN'S FLIGHT,DEC,8 AM,39.78821972
PETER PAN'S FLIGHT,DEC,9 AM,49.05311778
PETER PAN'S FLIGHT,DEC,10 AM,59.70483005
PETER PAN'S FLIGHT,DEC,11 AM,71.43591294
PETER PAN'S FLIGHT,DEC,12 PM,74.84975962
PETER PAN'S FLIGHT,DEC,1 PM,79.42807626
PETER PAN'S FLIGHT,DEC,2 PM,81.05115233
PETER PAN'S FLIGHT,DEC,3 PM,76.36539525
PETER PAN'S FLIGHT,DEC,4 PM,78.73737374
PETER PAN'S FLIGHT,DEC,5 PM,76.67593107
PETER PAN'S FLIGHT,DEC,6 PM,84.21641791
PETER PAN'S FLIGHT,DEC,7 PM,56.23795181
PETER PAN'S FLIGHT,DEC,8 PM,53.0604534
PETER PAN'S FLIGHT,DEC,9 PM,57.40390482
PETER PAN'S FLIGHT,DEC,10 PM,42.40176152
PETER PAN'S FLIGHT,DEC,11 PM,25.82347973
BIG THUNDER MOUNTAIN,JAN,12 AM,8.470817121
BIG THUNDER MOUNTAIN,JAN,8 AM,18.50869565
BIG THUNDER MOUNTAIN,JAN,9 AM,25.94578755
BIG THUNDER MOUNTAIN,JAN,10 AM,43.00815772
BIG THUNDER MOUNTAIN,JAN,11 AM,54.2263122
BIG THUNDER MOUNTAIN,JAN,12 PM,51.9471831
BIG THUNDER MOUNTAIN,JAN,1 PM,61.05059733
BIG THUNDER MOUNTAIN,JAN,2 PM,55.49100968
BIG THUNDER MOUNTAIN,JAN,3 PM,51.99926632
BIG THUNDER MOUNTAIN,JAN,4 PM,60.20044543
